,Area Codes,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
0,E06000047,6393,6136,6254,6339,6515,6610,7296,5520,5412,5287,4540,4114,3800,3772,3644,3492,3312,2843,2659,2341,2063,1811,1741,1409,1149,4138
1,E01020634,18,20,15,18,21,21,21,15,17,18,30,17,19,15,17,21,17,7,5,11,4,8,3,3,7,9
2,E01020635,18,20,17,19,16,21,18,19,12,21,13,14,11,5,15,7,8,8,7,3,8,5,6,5,7,8
3,E01020636,23,26,16,16,17,23,16,24,21,19,16,13,11,14,9,6,13,8,13,6,5,9,4,3,3,15
4,E01020654,27,9,14,24,17,31,23,17,9,19,19,12,10,15,14,10,9,18,9,8,10,17,10,11,10,37
5,E01020676,20,19,21,20,16,33,24,22,16,18,15,18,17,12,9,6,4,8,2,3,6,3,4,3,0,2
6,E01020613,18,11,13,17,26,15,17,16,21,24,16,17,18,28,9,9,20,12,7,5,4,2,4,3,1,6
7,E01020614,13,15,14,13,27,24,19,17,17,21,13,22,12,18,12,27,23,17,12,14,12,13,10,5,4,17
8,E01020622,22,12,32,30,30,21,23,13,14,17,16,9,8,12,4,4,7,8,5,4,3,2,0,0,3,6
9,E01020623,29,29,23,18,21,20,23,15,21,11,7,7,3,3,6,3,3,2,3,4,7,5,6,3,0,10
10,E01020627,16,18,19,17,23,14,21,14,16,22,6,9,11,12,9,12,7,7,8,8,6,4,5,1,1,13
11,E01020628,33,32,28,34,26,28,32,17,17,15,25,13,15,18,21,13,16,14,12,13,12,14,8,5,12,9
12,E01020629,18,16,23,20,21,15,21,15,14,11,10,14,11,8,9,12,6,7,6,6,10,2,6,6,4,12
13,E01020655,28,22,27,24,36,31,34,32,21,24,20,20,11,26,11,14,23,13,18,7,10,10,6,9,9,21
14,E01020656,17,25,22,15,27,23,29,27,18,14,25,13,12,13,19,13,9,9,7,17,6,7,18,10,5,31
15,E01020657,15,23,17,18,24,18,24,20,15,16,15,15,13,8,8,11,6,5,11,5,2,3,3,2,2,5
16,E01020661,21,19,22,28,25,21,14,16,12,12,15,10,10,11,17,19,8,14,11,8,15,9,8,8,10,40
17,E01020662,25,21,18,22,21,25,23,17,17,20,20,17,8,14,9,12,10,6,9,5,8,7,6,5,5,14
18,E01020663,30,37,30,25,29,24,32,24,17,20,22,17,30,16,12,11,10,12,9,7,8,7,2,7,4,13
19,E01020674,17,30,19,14,23,21,26,19,19,16,10,6,7,9,11,7,6,4,7,2,2,1,4,1,0,13
20,E01020678,23,19,26,15,21,27,20,18,14,10,11,13,6,8,8,8,6,5,1,6,1,3,6,1,4,9
21,E01020606,27,23,13,13,15,18,11,14,15,13,13,11,6,11,13,12,6,12,4,13,3,2,1,2,0,9
22,E01020615,10,15,20,13,18,14,17,12,17,13,16,12,10,12,5,17,15,13,12,8,11,6,7,2,4,38
23,E01020616,16,19,10,10,25,16,13,7,13,11,8,8,6,5,8,9,7,4,5,6,3,1,4,2,1,7
24,E01020617,21,29,37,30,11,42,39,26,32,24,17,14,20,24,13,16,10,6,10,9,5,6,11,2,3,10
25,E01020626,20,9,17,20,24,26,33,26,18,18,27,10,18,14,20,13,6,12,6,10,4,9,6,6,4,14
26,E01020638,18,23,13,20,31,17,36,27,17,26,19,16,16,12,7,6,11,6,10,10,7,2,6,6,3,11
27,E01020639,13,16,21,13,14,23,29,13,10,15,10,7,5,8,11,9,4,6,3,3,2,1,1,1,2,3
28,E01020653,32,22,22,21,27,19,27,19,11,25,9,14,7,9,10,10,6,7,9,13,7,5,3,3,5,9
29,E01020677,19,19,17,14,19,19,20,13,20,13,12,16,17,15,15,18,11,13,12,8,9,7,9,1,4,7
30,E01020596,21,14,20,13,17,13,17,17,17,14,17,16,13,12,14,16,6,4,8,8,6,4,3,4,3,18
31,E01020597,22,22,16,24,28,19,38,37,33,32,30,22,20,13,8,19,17,15,12,7,5,6,4,2,1,7
32,E01020598,14,24,15,19,30,25,29,26,26,29,14,12,26,17,14,14,20,15,18,19,8,13,8,17,5,34
