"Abercegir, Machynlleth",Abercegir Covid Support Group,Powys 004A,W01000442,https://www.facebook.com/groups/233395261131422/,
Aberdulais ,Covid-19 Cilfrew and Aberdulais,Neath Port Talbot 005A,W01000887,https://www.facebook.com/groups/covid19cilfrewandaberdulais/,
Abergavenny,Abergavenny Street Monitors,Monmouthshire 002E,W01001580,https://www.facebook.com/groups/abergavennystreetmonitors/,
"Abermule , Powys, SY15 6NS ",Abermule Community Centre Outreach,Powys 007B,W01000439,https://www.facebook.com/abermulecommunitycentre,
"Abermule, Powys, SY15 6NS",Abermule Community Centre - Outreach,Powys 007B,W01000439,https://www.abermule.cymru,
"Aberystwyth, Ceredigion",Ceredigion Coronavirus Support,Ceredigion 002B,W01000513,https://www.facebook.com/groups/ceredigioncoronavirussupport/,
"Alltwen, Pontardawe",Alltwen Covid-19 Community Volunteers,Neath Port Talbot 004A,W01000888,https://www.facebook.com/groups/1098155540582789/,
Amroth Ward (Pembrokeshire),Amroth and District Good Neighbours,Pembrokeshire 011A,W01000553,http://amrothgoodneighbours.wales,
Anglesey,Covid 19 Mutual Aid Môn,Isle of Anglesey 007C,W01000009,https://www.facebook.com/groups/205528177434085/,
"Bala, Gwynedd",Yr Ymateb Cymuned Penllyn Community Response,Gwynedd 015A,W01000051,https://www.facebook.com/groups/penllynresponse/,
"Bargoed, cf81 ",Bargoed Coronavirus Community Help,Caerphilly 004B,W01001337,https://www.facebook.com/groups/813269219172008/,
"Barry, Wales",Barry Community COVID-19 news and assistance,The Vale of Glamorgan 013E,W01001101,https://www.facebook.com/groups/barrycommunitycovid19/,
"Beaumaris, Anglesey, North Wales",Cynllun Tro Da Seiriol Good Turn Scheme,Isle of Anglesey 005A,W01000005,http://www.facebook.com/trodaseiriolgoodturn/,
"Berriew, Powys",Berriew Support,Powys 005A,W01000428,https://www.facebook.com/groups/berriewsupport/,
"Blaenavon, Pontypool, UK",Blaenavon Coronovirus Help Group,Torfaen 001C,W01001489,http://www.facebook.com/groups/561669131115526/,
Brecon,Coronavirus Brecon and surrounding areas support group  ,Powys 017D,W01000492,https://www.facebook.com/groups/546009316119695/,
Bridgend,Stay Connected Telephone Befriending Network,Bridgend 014E,W01001035,https://www.facebook.com/mhmwales,
"Bridgend CF31, UK",Bridgend Association of Voluntary Organisations,Bridgend 014D,W01001028,https://www.facebook.com/bavohub/,
"Brooks, Berriew, Welshpool, Powys",Brooks Coronavirus Support,Powys 003B,W01000499,https://www.facebook.com/groups/brookscommunity/,
Bryncoch,Covid-19 Bryncoch and Caewern ,Neath Port Talbot 006A,W01000902,https://www.facebook.com/groups/2540308379517021/,
"Bwlchnewydd, Carmarthenshire",Mutual Aid Bwlchnewydd Area,Carmarthenshire 003D,W01000728,https://www.facebook.com/groups/656480578228425/,
"Cae Gwastad, Harlech LL46 2GY, UK",Help Harlech,Gwynedd 013B,W01000074,https://www.facebook.com/helpharlech/,
Caersws Powys ,Caersws & Local Villages Covid 19 Support Group,Powys 006A,W01000433,https://www.facebook.com/groups/870195643393182/,
"Caerwent, Caldicot",Caerwent Community Support Group-COVID19,Monmouthshire 009A,W01001542,https://www.faceboook.com/groups/caerwentcovid19,
"Camarthen, Tenby, Pembrokeshire ",Carms west & South Pembrokeshire Covid 19 Support group,Pembrokeshire 016C,W01000620,https://www.facebook.com/groups/231551228021854/,
"Canton, Cardiff",Canton Covid-19 mutual aid group,Cardiff 040A,W01001709,https://www.facebook.com/groups/2532290837040130/,
Cardiff,Cardiff Covid-19 Mutual Aid,Cardiff 032F,W01001939,https://www.facebook.com/groups/798456330650652,
Cardiff,Penylan / Cyncoed Covid-19 Mutual Aid Group,Cardiff 032F,W01001939,https://www.facebook.com/groups/685229805549686/,
Cardiff,Cardiff Area Corona Support,Cardiff 032F,W01001939,https://www.facebook.com/groups/190344125596745/,
Cardiff,Newfoundland Road Cardiff,Cardiff 032F,W01001939,https://www.facebook.com/groups/202098517691472/,
Cardiff,Butetown and Bay Covid Mutual Aid,Cardiff 032F,W01001939,https://www.facebook.com/groups/635718133658805/,
Cardiff - Penylan,Penylan Covid-19 Community Support,Cardiff 024A,W01001821,https://www.facebook.com/groups/207574297320020/,
Cardiff - Roath/ Cathays/ Gabalfa/ Heath,Roath/ Cathays/ Gabalfa/ Heath COVID-19 Area Group,Cardiff 025B,W01001756,https://m.facebook.com/groups/251990475816496,
Cardiff and Vale of Glamorgan ,Community Payback,Cardiff 048E,W01001947,https://www.wales.probationservices.co.uk,
Cardiff Marina,Victoria Wharf Volunteers,The Vale of Glamorgan 005E,W01001126,https://www.facebook.com/groups/victoriawharfcardiff,
Cardiff West,Ely and Caerau Covid-19 Support,Cardiff 035D,W01001717,https://www.facebook.com/groups/1036654390037535,
"Cardiff, UK",Corona Virus - South Wales Resilience Group ,Cardiff 032F,W01001939,https://www.facebook.com/groups/southwalescommunity/,
"Cardiff, Wales",Cardiff Covid-19 Mutual Aid Network,Cardiff 032F,W01001939,https://www.facebook.com/groups/505064553776232/,
Cardigan,Cardigan - Corona Virus Help,Ceredigion 009E,W01000511,https://m.facebook.com/groups/496385217937980,
Carmarthenshire,Grwp Cyd-Cymorth Sir Gar | Sir Gar Mutual Aid Group,Carmarthenshire 008A,W01000641,https://www.facebook.com/groups/221955192513263/,
Carmarthenshire ,Carmarthenshire covid-19 support group,Carmarthenshire 008A,W01000641,https://m.facebook.com/groups/827580067719862/,
Chepstow,Chepstow Covid 19 helping group ,Monmouthshire 008C,W01001587,https://www.facebook.com/groups/543155922970484/,
Cimla,Cimla Covid-19 Support Group,Neath Port Talbot 009A,W01000909,https://m.facebook.com/groups/198095591510088,
Colwyn Bay,Colwyn Bay Covid-19 Action Network,Conwy 007C,W01000144,https://www.facebook.com/groups/2505072983068360/,
"Cwmbran, UK",Councillor Elizabeth Haynes ,Torfaen 010D,W01001528,https://m.facebook.com/groups/692362157447373,
"Cwmbran, UK",Greenmeadow/fairwater covid-19 group,Torfaen 010D,W01001528,https://www.facebook.com/greenmeadow/fairwatercovid-19groupduscusdion,
"Deiniolen, Gwynedd",Grŵp Cymorth Covid-19 Aid Group - Ardal Deiniolen Area,Gwynedd 005A,W01000063,https://www.facebook.com/groups/2746564232063847/,
"Deri, Caerphilly, South Wales",Deri and Groesfaen Good Neighbours Group,Caerphilly 002A,W01001360,https://www.facebook.com/groups/206853197314591/,
Devauden Monmouthsire,Devauden Coronavirus Support Group,Monmouthshire 007A,W01001549,http://www.devauden.org.uk/covid-19.html,
Dinas Mawddwy & Dolgellau,Cymorth Corona Ardal Dolgellau a Dinas Mawddwy Corona Help Group,Gwynedd 016D,W01000067,https://www.facebook.com/groups/191075669001543/,
Dolwyddelan ,Dolwyddelan Covid-19 Mutual Aid Volunteers,Conwy 015A,W01000121,https://www.dolwyddelancc.org.uk/en/home.html,
Dyffryn ARDUDWY  LL442DH ,Plan C Dyffryn Ardudwy + Talybont,Gwynedd 013A,W01000069,https://www.facebook.com/groups/252338849118563/,
